uid,grid_id,year,month,srad_mj_m2_day
"[19.0, 2016, 03]",19.0,2016,3.0,1975.083251134346
"[19.0, 2016, 04]",19.0,2016,4.0,1740.747681988558
"[19.0, 2016, 05]",19.0,2016,5.0,1820.6502268692052
"[19.0, 2016, 06]",19.0,2016,6.0,1529.8453343854806
"[19.0, 2016, 07]",19.0,2016,7.0,1519.7610968632866
"[19.0, 2016, 08]",19.0,2016,8.0,1670.9202998619053
"[19.0, 2016, 09]",19.0,2016,9.0,1683.4979285855195
"[19.0, 2016, 10]",19.0,2016,10.0,1824.8984020516868
"[19.0, 2016, 11]",19.0,2016,11.0,2075.3509567962124
"[19.0, 2016, 12]",19.0,2016,12.0,2018.04280923259
"[20.0, 2016, 01]",20.0,2016,1.0,2158.4766241651487
"[20.0, 2016, 02]",20.0,2016,2.0,1981.5551912568305
"[20.0, 2016, 03]",20.0,2016,3.0,1914.753491196114
"[20.0, 2016, 04]",20.0,2016,4.0,1750.646144505161
"[20.0, 2016, 05]",20.0,2016,5.0,1802.1117182756527
"[20.0, 2016, 06]",20.0,2016,6.0,1562.3952641165754
"[20.0, 2016, 07]",20.0,2016,7.0,1514.5124468731026
"[20.0, 2016, 08]",20.0,2016,8.0,1633.628536733455
"[20.0, 2016, 09]",20.0,2016,9.0,1651.8035215543412
"[20.0, 2016, 10]",20.0,2016,10.0,1802.2427443837278
"[20.0, 2016, 11]",20.0,2016,11.0,2002.0901032179718
"[20.0, 2016, 12]",20.0,2016,12.0,1999.2721311475407
"[21.0, 2016, 01]",21.0,2016,1.0,2132.8195434521426
"[21.0, 2016, 02]",21.0,2016,2.0,1882.458950740889
"[21.0, 2016, 03]",21.0,2016,3.0,1851.9593912695236
"[21.0, 2016, 04]",21.0,2016,4.0,1751.631397677213
"[21.0, 2016, 05]",21.0,2016,5.0,1789.5118141770126
"[21.0, 2016, 06]",21.0,2016,6.0,1604.4997997597115
"[21.0, 2016, 07]",21.0,2016,7.0,1533.6179415298357
"[21.0, 2016, 08]",21.0,2016,8.0,1627.9046856227474
"[21.0, 2016, 09]",21.0,2016,9.0,1644.2889066880255
