uid,grid_id,year,month,tavg_celsius,tmmx_celsius,tmmn_celsius
"[93.0, 2019, 01]",93.0,2019,1.0,27.183787278055515,31.40768832959835,22.959886226512666
"[93.0, 2019, 02]",93.0,2019,2.0,28.170884330287887,32.918134804344085,23.423633856231678
"[93.0, 2019, 03]",93.0,2019,3.0,28.860455093949312,33.59122565074987,24.12968453714877
"[93.0, 2019, 04]",93.0,2019,4.0,28.53106360972247,32.995069815549044,24.06705740389588
"[93.0, 2019, 05]",93.0,2019,5.0,28.03023616617825,32.08243406309258,23.978038269263916
"[93.0, 2019, 06]",93.0,2019,6.0,27.039579382865032,30.45111187726254,23.628046888467498
"[93.0, 2019, 07]",93.0,2019,7.0,25.896173073607997,28.600568867436653,23.191777279779348
"[93.0, 2019, 08]",93.0,2019,8.0,25.35634373383899,27.77695224961214,22.93573521806585
"[93.0, 2019, 09]",93.0,2019,9.0,26.438208929494916,29.40056886743665,23.47584899155318
"[93.0, 2019, 10]",93.0,2019,10.0,27.16154973280469,30.822530598172726,23.500568867436645
"[93.0, 2019, 11]",93.0,2019,11.0,27.532149629374253,31.3054990518876,23.75880020686089
"[93.0, 2019, 12]",93.0,2019,12.0,27.660170660230992,31.567040165488716,23.753301154973286
"[94.0, 2019, 01]",94.0,2019,1.0,26.874690973304247,30.759644749143035,22.98973719746546
"[94.0, 2019, 02]",94.0,2019,2.0,27.69969876389322,32.06528513555626,23.334112392230175
"[94.0, 2019, 03]",94.0,2019,3.0,28.368240365638318,32.73779993767529,23.998680793601327
"[94.0, 2019, 04]",94.0,2019,4.0,28.287264983899455,32.44937155915653,24.125158408642367
"[94.0, 2019, 05]",94.0,2019,5.0,27.79636958554067,31.62585436792356,23.966884803157782
"[94.0, 2019, 06]",94.0,2019,6.0,26.8145787888231,30.13610678300613,23.49305079464007
"[94.0, 2019, 07]",94.0,2019,7.0,25.688417991066792,28.31623558741041,23.060600394723178
"[94.0, 2019, 08]",94.0,2019,8.0,25.166728991378413,27.515903188947757,22.817554793809084
"[94.0, 2019, 09]",94.0,2019,9.0,26.215404591253762,29.057961981925843,23.372847200581685
"[94.0, 2019, 10]",94.0,2019,10.0,26.94636958554067,30.45134517502857,23.441393996052756
"[94.0, 2019, 11]",94.0,2019,11.0,27.23693777916278,30.805328762854476,23.66854679547108
"[94.0, 2019, 12]",94.0,2019,12.0,27.40084657733459,31.011955957203707,23.78973719746547
"[95.0, 2019, 01]",95.0,2019,1.0,27.318979978354978,31.231060606060613,23.40689935064935
"[95.0, 2019, 02]",95.0,2019,2.0,27.794818722943724,31.962067099567097,23.627570346320343
"[95.0, 2019, 03]",95.0,2019,3.0,28.29653679653679,32.089637445887455,24.50343614718615
"[95.0, 2019, 04]",95.0,2019,4.0,28.57065746753247,32.24134199134198,24.899972943722947
"[95.0, 2019, 05]",95.0,2019,5.0,27.868939393939392,31.1586038961039,24.579274891774894
"[95.0, 2019, 06]",95.0,2019,6.0,27.863758116883115,31.0689393939394,24.658576839826846
"[95.0, 2019, 07]",95.0,2019,7.0,27.612012987012985,30.775811688311684,24.448214285714286
"[95.0, 2019, 08]",95.0,2019,8.0,27.703409090909098,30.879274891774887,24.527543290043297
"[95.0, 2019, 09]",95.0,2019,9.0,27.412040043290045,30.617207792207793,24.2068722943723
"[95.0, 2019, 10]",95.0,2019,10.0,26.956858766233772,29.958576839826847,23.95514069264069
"[95.0, 2019, 11]",95.0,2019,11.0,27.02237554112554,30.1172077922078,23.92754329004329
"[95.0, 2019, 12]",95.0,2019,12.0,26.963771645021648,30.472375541125544,23.455167748917752
"[96.0, 2019, 01]",96.0,2019,1.0,27.319785714285718,30.429142857142853,24.21042857142858
